polarity,processed
joy,bahkan di kantor godaan bu bo sexxyyi kalah dengan meja yang buat tidur sambil duduk
sad,kok kangen pake bbm yaaa
joy,temen gue pamer punya jam dw pamernya secara halu ngelurusin tangan didepan gue biar jamnya keliatan ke gue ehh abi itu gue sentil kacanya langsung
sad,nggak pernah peduli sama f yang ngaku atau ributin perkara look gue ke sini nggak nyari pacar soalnya haha nyari iseng sama share aja m
joy,qna yuuu
netral,buat cowo misalnya kalian selingkuh tapi udah putu sama selingkuhan itu pacar masih ada apa yang membuat kalian sakit hati
netral,linkin park wait for the end
joy,cuy tolong lah massa updat seneg liat f pake seragam sma di report samp kena ben bulan kan sayang chatan yg
netral,ada yg pake printer hp
confused,mantan aku ngajak balikan tapi posisinya dia udah punya cew tapi katanya dia bakal udahan sama cewenya itu aku udh blg buat mikrin perasaan cewenya aku jahat ga sih
sad,f chatan kuy di line sepi
netral,kalo misal ig kita diblock tapi kirim dm ke dia samp gak dm nya teru kalo dibuka block nya bakal samp gak
joy,batal ga si kalo cee hehe
joy,hi ciwik ciwik kita ngobrolin masa depan kayak karir life goal keluarga etc let have a deep convo shall we do worri i femal too
joy,imagin all the peopl share all the world yuhuu huuuu
sad,pengen jd coffe blogger
netral,hi mau tanya sama f disini lebih suka cowo keker atau cowo lembek atau gak keker tapi berisi gtuuu kasih pendapat kalian ya
joy,sempurna dalam ketidaksempurnaan dirimu yang begitu indah cantik meski hanya berlalu kau mampu menghentikan waktu nona boleh aku mengen lebih dr parasmu m
netral,pengen jago bahasa inggri di mulai dari mana ya
anger,dari yg samp bilang babe aku kangen bipolar abi jd
anger,indihom suck realli bad
netral,enak ga sih jadi barista
confused,tiap bangun tidur badan gue pasti pana kenapa ya
joy,a whole new world
sad,enak gak sih punya kenalan arti jd pengen
netral,ad yg mau
netral,punten mau nanya lowkey artinya apaan
netral,itu laptop kenapa tibatiba gabisa buat play ya
joy,i can show you the world
joy,f followan ig yuk nanti drop id nya di dm
sad,sadarkan aku tuhan dia bukan milikku
anger,gai pkl aku ngebetein ddddd tp aku suka gmn dong
confused,kok kalian bs sih baper cuma chattan blom juga ketemu
netral,adaa f yang lagi di apart
netral,hi cowok prefer cewek yang nada suaranya tinggi atau cewek yang nada suaranya rendah
sad,now play nidji hapu akun
sad,ini gua kerja udah kaya lagunya armada bedanya kalo gua pergi pagi pulang kemudian
joy,ada f curvi short hair di sini
joy,aku mah anaknya demen bikin plan tr dibayangin gt
sad,gimana biar ngambek gak ketauan deh gue kalo ngambek keliatan banget dari type soalnya gue berubah jadi mager ngetik haha
joy,meleleh ma baca puisinya yang tadi
joy,gua nanti mudiknya naek motor biar bisa srobot sana srobot sini cewek strong kuy
sad,pengen punya partner m bandung
sad,kangen dimanjain sm anon huhu
sad,sini kalian chat ngabodor nanaonan kek ku butuh hiburan puse bgt monang ep
joy,gua nanti mudiknya naek motor biar bisa srobot sana srobot sini cewek strong ya gini cuy
joy,f chatan di line kuy
netral,itu para wanita disini yang tahun keata pada gak laku kenapa ibarat brosur konten nya kurang
joy,parasmu yang bagaikan pire melamin retak membuatku ingin mencurahkan segala isi bungkusan soto keata wajahmu
joy,break kerja bentar ngayal babu yok cleanchat kok
netral,kenapa sih pada takut sama tanggal mei lusa
sad,eh eh eh kok hidup gue sepi gini sih
joy,masa lalu jangan jangan kisah lama jangan jangan ingat baiknya lupakan anjay wkwk
netral,pengen dpt temen chattan yg asyik dan awet f
netral,halo cowo kln suka cew yg nya gede tapi pendek atau tinggi tapi tepo
joy,ost tanggal the cranberri zombi
joy,ke typo an lo gw sekarang jd tau yang gw ketemu anon beberapa kali itu trnyata itu lo juga anonku wkwk ngakak
joy,eh chatan yuk wkwk
sad,kapan ya iqbal jd jodoh akuu
netral,ost pemilu radiohead no surpris
joy,final episod of got woiiiijjjjjjjiiii
netral,ost tanggal neng setasiun balapan
joy,chat yuk f yang ga clean
sad,lagi puasa dibawa mikir jadinya naik asam lambung
joy,td kan gue abi nonton film el eh ko jd pengen heheh
sad,kesepian bgt sih gua cek handphon liat ada chat atau ngga kalo ga ada yg chat gelisah kenalan sm bnyk anon biar makin banyak yg chat ya allah sedih
joy,recommend film yang base on true stori dong gai dan emang beneran bagu thank you luv
love,kenapa susah rasanya menahan rasa padamu
joy,sedang mood banget bacain horor dan ada satu yg menarik perhatian salut sih sama ma ini tempat sendirian tanpa edit dan drama apapun
joy,selamat pagi menjelang siang
netral,kamu cowok tinggi lebih milih pasangan yang pendek atau tinggi juga
joy,kalo boleh milih arti yg pengen dijadiin pasangan kalian siapa guy gue agn monica wkwk kayaknya seru tuh tp udah jarang muncul ya doi
netral,ada yg mau tlponan jam wib malam ini
joy,ada yg suka nonton grey anatomi tidakk
netral,kalian dulu lahir normal atau caesar
netral,ost tanggal critic acclaim
sad,kenapa cew kalo engass suka maksa sih kita ldr tiket pesawat mahal babi bokek gue
joy,nonton john wick yukkkk depok
anger,skrg hode smkn didukung sm fitur terbaru dr snapchat jgnnsamp ketipu ge
netral,ada yg mau kenalan sm adek gue ga umur cewek receh
joy,anak smp sma jaman sekarang ngapa pada yak hadeh
anger,semenjak pindah ke nangor gue jd buluk bgt anjir
joy,ketemu kamuu semogaa allah mengizinkan
sad,bukannya gamau chatan sama sesama f di anon sih tapi w male aja ntar kek waktu itu chat anon tr temenan tr doi menyatakan perasaan tr ngejar amp nangi kejer ml
sad,iya maaf aku orang nya emang freak sekali
joy,kalo mau damai tgl kasih sekand bkkp pasti bersatu
anger,kata seseirang disini cowo mah selalu liat dari fisik sumpah yak kalo dia yang ngomong barannya atleti sih gapapa nah ini badan lu juga ga amat ngomong gitu
sad,aku suka sama ma tapi hari ini masnya selesai kontrak aku kudu piy
netral,saat gebetan lu cuma ngeread chatan lu apakah lu haru chat ulang dia cuma nanya kabar sih
netral,ada yg mau telponan nanti malem jam
sad,minder akutu kalo sama cewek tinggi
joy,gua mau jilat bagian dalem flatsho cewek deh keknya seru
sad,ngantuk bat ngantuk ya allah gusti nu agung
joy,ma ma dengan type ganteng tunjukkan
confused,kln suka film genr apa ge judul film favorit kln apa gabut nih mau nonton film tapi bingung
netral,jadwal bioskop minggu ini apa
netral,the moment ruk kong rao
sad,pria liat fisik wajar karena kalian wanita akan di dampingi dan di pimpin orang hidup di dunia berekspektasi boleh kalo mau cantik di akherat which blm tntu msk
sad,bosen amat w kalo dikantor gaada kerjaan
joy,menit lagi jeng jeng jeng
sad,dimana kamu saat aku mau apa kau juga memikirkan aku
netral,kalian cewek apa cowok
confused,makan apa yah enaknyaaaaa
netral,gue heran yaa gue ngeliat cew pasti dari tumitnya teru bisa keliatan dia orang yang suka bersih bersih apa engga
sad,ku mau nonton aladdin
sad,emang semakin lama idup tuh kudu makin terbiasa ya sm yg namanya penolakan
joy,recommend film barat dong genr apa aja
sad,ey ni gaada yg mau ngisi room chat w terakhir chat sama anon sini bulan lalu kwkwkwk
sad,hari ini izin gamasuk magang buat ngerjain tuga kuliah wkwkw puse bener dari sabtu tidurnya kurang
sad,gue ga deket ama kaka gue tapi ternyata gue ketemu dia di tell dan dia cerita semuanya dan dia ga tau gue adiknya
sad,jam segini perut aq sudah perih
joy,kwetiaw pede mani balungan kulit mantull
anger,woi yg ngeludah disembarang tempat liat sekitarnya dong
sad,percuma type ganteng tp bahasannya aja
netral,menurut kalian apa yg terjadi ditangg besok
joy,godaan amat liat ig tau tau ada cewek pake leg ketat joget joget
joy,aku baru selesai ua kalkulu gaesss habi digerumutin cace
netral,waktu itu dia malmingnya nonton bioskop gue cuma oh aja cowo kalo nonton bioskop pa malm mungkin ga bareng cowo juga
confused,sedang berada di titik dimana di titik berada di titik dimana di titik berada dimana
netral,tukeran id line yuk siapa berani
confused,chat sama org disini teru dia kayak mau baha got gitu ter kan gue gak tau dia nanya gua gak ngikutin gue jawab egak teru gak dia dibal eh dienchat lah knp dah
joy,gue nemu orang yang bisa diajak chat fc meet gtu aja dahh bersyukur gue
joy,hey yg udah di ec kaki ane yg habi op kemaren udah berangsur membaik makasih yang sempat nemenin yah pa nunggu dokter
sad,woilah sepi amat chat gue
netral,ada orang cikarang atau lebih tepatnya jababeka chat dong mau nanya
netral,am i the onli one yang berfikiran kalo type itu menentukan banget attitud dan cara berfikir seseorang
sad,mau mulai belajar buay persiapan sbmptn tapi bingung mulainya dari mana
joy,gue lagi suka masa ama kata edan wkwkw edan kan
netral,masalah desa desu tanggal gimana tanggepan kalian apa kalian percaya teru udah nyiapin makanan gtgt atau bodoamat
netral,kalo kata abangku cobaan mau nikah tu ada aja menurut kalian yang sudah nikah setuju atau tidak setuju
netral,kalau kita dua bulan kerja di tmpt swasta apakah mendapat thr
joy,f chatan di line kuy nihh
netral,teknik infotmatika sistem informasi kalian pilih yg mana
fear,too mani psycho di dunia serem
joy,kepegadaian dilihatin hehe duit abi pak belom dpet uit thr hueh
netral,siapa disini yg punya saudara kandung lebih dr orang
sad,kamu pendengar yang baik tapi hati kamu sepertinya belum untukku
sad,eh tadi ada yg ke ec sinyal dah kayaknya roomnya kosong eh gw ikutan ec
joy,cht yuk f samp awet hahaha
sad,lidah gw kurang cocok kl makan di warteg gitu tr gw lebih milih makan bayar agak mahal tp enak drpd murah tp kurang cocok sama gw gw blg gw boro salah ya emg
sad,astaghfirullahhh kenapa sih ngutang itu nikmat samp gak berasa udah mau sejuta lagi napa sehari ngelunasin yg kemarin udah nambah lagi aja dasar guaaa
joy,f yg goodlook bisa chat mungkin m here
joy,tingkat kekerenan seseorang kadang keliatan dari cara type pemilihan film dan musik favoritenya kadang
netral,lo tipe org yg gamau nyusahin temen samsek kecuali kepepet atau nyusahin temen selagi bisa v
netral,nanya dong yang cowok pernah baper gak sama anon
joy,ada f gdlook gue m gdlook ga bs sama cwek jelek dan miskin chat dulu kalo ccok lgsg move video call
anger,cew yang pc kalo gue cowo gimana it not funni at all realli
netral,pikiran gw kadang gak bisa amat apa ini gejala sakit jiwa
joy,buka explor ig liat tasti tulisannya how to make tradit isra food udah seriu nonton baru sadar isinya noth sarka nih tasti tumben
sad,cew kalo putih putih kaya cina gitu cantik ga sih kadang minder loh sama yg kulitnya eksoti cokelat gitu
netral,f ada yg dengerin kurosuk
anger,aghh beta sond kuat hahahahahaha
sad,juta dapet dari mana coba gak ada yang bisa di agunin kecuali ya jual ginjal
confused,gue nggak tau haru percaya atau engga
anger,kenapa kalo gue nyari cewek cantik jelek di sini tuh pada sirik banget ya nggak dipanggil tapi malah nyaut heran udah jelek nyolot lagi makin jelek ntar
netral,sepertinya sudah jalan ku
joy,buat cew disana maaf bukannya gak mau chat jujur rindu sih tapi lebih baik ungkapin rindunya lewat doa siapa tau allah jadi suka tru kita jadi
joy,guy doain aku ya tahun depan atau tahun lagi aku menikah tapi belum ketemu jodohku sekarang ini heheh doain ya
netral,ada yg dengerin grrrl gang gaa
netral,guy gue mau buka po kue lebaran laku ga ya
netral,ada f nearbi yg curvi short hair
netral,eh m suka cew kulit putih atau yg biasa coklat gt
netral,serunya jadi mahasiswa
sad,apa yang kalian lakuin saat kalian ngerasa kesepian
confused,gue kan liat video denni darko soal tanda dia menyukai kamu teru semua ada di gue lah berarti dia tau ya klo gue suka
fear,mau keluar malem sekarang serem kalo sendiriii takut begal ramean disangka gangster serba salah raisa
joy,f yuk baha yang unclean
joy,dijalani dinikmati disyukuri lembang stasion
confused,mau cabut tp gatau kemana tr lg puasa juga
sad,dear anonku yang sedang semangat tesisnya yahhh tapi bale chatku dulu wqwq
anger,chat isinya diskusi kelompok doang sebel dah
joy,gw comblangin tmn gw padah mereka gak sale suka teru akhirnya mereka jadian kemaren gw ditraktir bukber cewenya ehh tadi cowonya ngasih duit ke gw
anger,zodiac is a big lie and there you are still believ it
confused,lagi bingung sama kebingungan yang membingungkan jadi bikin bingung kan
netral,tgl kalo ga salah ada film baru di bioskop
netral,ada yang mau ditanyain ngga
sad,cuy jd gini kan gw td jemput nyokap eh kena razia yak teru gw gabawa duit gabawa surat jg pak pol blg suru damai aja bayar gw gabawa duit yauda gw suru
netral,ada bi mau fc here
joy,i in a whole new world with
joy,tukeran id line yuk
sad,cowo yg ngga tau siskae di twiitter pacarin buka twitter nah aku astagaaaaaaaaa
anger,itu yang punya motor knalpotnya keata tolong diperbaiki kalau saya pa dibelakang biar ga kena tembakan dari knalpot lu yg mleduk motivasinya apaseh
sad,puterin lagu aa ariel satu album gua ulang ulang kok si aa gak cape atau ya nyanyinya
joy,lebih nyambung chat sama m yang keata emang otak nya udah terbentuk sempurna
netral,diskusi yok temen temen biasanya ngapain aja klo dibioskop sm cmemewnya
joy,fc kuy biar ga ngantuk di kela
confused,seyeng reunian sekolah kan kita ngobrol baha indah kalo reunian baha apa ahok bukannya ngomongin orang namanya ghibah
anger,udah ngambil first kiss sekarang diblock dasar cowo bangsadd
netral,hey male wan na talk or play roleplay
joy,me gakan chat sama anon also me chat yuk wkwkwkw
joy,f chatan di line kuy
confused,si suami kristen si istri hindu pa nikah mereka mualaf ya ya ya ya hadeeeehhh garuk garuk kepala aja gue astaghfirullah
joy,semenjak kenal doi yg umurnya dan beda thn sama umur gue semakin kesini lebih nyaman chat sama cowo yg umurnya diata gue drpd
joy,jd ceritanya gw move sm anon cakep ternyata imut banget fotonya gw ajak fc mau suaranya lebih imut tadinya pgn gw ajak v c s tp dia gak ngerti waktu gw tnya lbh jauh
sad,masa cuma karena gendut pada gamau sama gue
sad,kadang pen kulit semulu dan secerah cowo korea tapi apa daya sejak lahir kulitku sawo matang syukuri saja
sad,gue lg sebatang kara dikampu fc dong stgh menit aja yauda
sad,yg cewe masker muka yg menurut kalian pale worth it ke kalian pa di pake itu apa ku lg mau cerahin muka nihh huft
netral,kaum hawa nanya dong kl beli fake nail di offlin store itu semacam apaan ya
sad,dulu gw diajarin buat selalu kejar cita cita jangan menyerah menggapai impian dan sebagainya gw bilang mau jadi pilot dari kecil diem lu semua
netral,kalo gue jual aqua ama cangcimen pa demo mei besok laku kera ga
joy,baca komenan tell aja ngakak sereceh itu gua wkwkwk
netral,peopl power guyss hari rabu
joy,selamat pagi tant
netral,ada f yang suka blaem blaem sama cowonya chat coba
netral,peopl power tu di jakarta doang kan
sad,tolong ini gabut banget mau keluar tp bingung kmn lg puasa mau nonton gaada yg seruu
joy,cangcimennnn cangcimennnn kacang kuaci semennnnn
anger,apaansih skrng sek bukan lagi hal tabu bahkan jadi obrolan eh gue udah pernah sama dia diaa juga oiya si itu pernah sama gue pleas deh
joy,sensi banget sih wkwk ngakak kan gw jadinya
anger,tanda tanda kiamat udah
love,semalem ngobrol sama crush aku bilang pengen tunangan tahun lagi dia iyain tr sambil bilang yaudah kita mempersiapkan diri ya damn
anger,godinku bukan makan atau minum tapi ss sama sebat puasa kali ini gak bisa bgt nahan nafsu ny ah kesel silakan nyinyirin aku
netral,ini gue mau nanya emang peopl power ntar mau ngapain aja
sad,gae gmna caranya baikan sama cwek yg ngambek kalo posisinya lu berdua cwek
joy,jemput adek diajak makan mcd mau nolak ga enak lagi puasa sebagai abang yg baik turutin mau adek
confused,kenapa gw belakangan ini deketnya sama dd dd umur yak padah gue udah dan dd an gue ada umurnya segituan semua m gue
anger,kalo kita perang saudara akibat tgl yang pertama ku bunuh dan keluarkan isi perutnya adalah f yang suka end chat
joy,nonton john wick ayo
joy,vc yuk here
sad,mau chaatt gabhutssssss
netral,f bekasi ada yg mau nemenin tournament ga
sad,kok gua selalu putu pa mau puasa ya
joy,pdkt akhirnya jadian woi gue pli bahagianya aq
anger,dianggurin temen yang numpang di kost gua gatau diri amat emang
joy,chat beba clean dijamin fast respon msh akan
anger,kayanya yang suka komen kasar ni user under ya haduh dek behav nape untungnya lo komen kasar tuh apa sih
anger,mana nih kok gak dateng dateng gimana sih
sad,pengen cht dia bngt tpi takut bakal di cuekin
sad,oh tuhan kenapa dia lesbian padah aku disini udah gak kuat
joy,gw ktni ada yg br plg dr pergi tru lepa sambil diciumin wanginya semerbak gitu bener ga si wkwkkwwk
anger,ini paket gue kpn nyampenya yaa udh hari ga nyamp pdhl dari jakarta ke bekasi doang
netral,dulu gue setiap minggu beli buavita yang sirsak ko skrng jarang ya apa udah gaada
love,kenal dr tell kuliah disiniiii eh jd bebskuy q skrg hihi
fear,trakhir dia cuma ngeread cht gue aja pengen cht lagi tpi takut
netral,i spoil honest clingi moodi can be veri determin if i want someth seriou type will someon like me
netral,kalo ngobrol sm anon m yang keata itu biasanya ngomong apaa aja wkwkw
joy,hihihihihihihihihijhi
anger,duh maap peopl power bukan sodara eyk say jadi ga bakal terjadi perang sodara kan katanya ga percaya lagi sama negara indonesia masa demo allahu
netral,yang nearbi numpang kekosan dong bentaran m
netral,ada yang mau telponan ga
joy,yeah game of throne ep terakhir sudah di donlot dengan subnya
joy,kangen di sm anon hehe apalagi sm yg gt ihh kyuti kwkwkwkwkwkw
confused,guy kalian rasanya pasti seneng bisa chat bahkan samp move ke yg beda jeni kelamin gak sepenuhnya salah sih tapi knp yg sejeni gamau chat an
joy,lg pgn dimanjain hehe
sad,post gw di take down cuma mau ngasih tau cwok jg gak bakalan tega ngerusak cewek kalo ceweknya aja polo banget minta dilindungi kayak anon gw itu kok chill
netral,saran bookstor di shope dong gue lg cari buat persiapan ujian mandiri ptn sihh
netral,ada f hijaban yang nyari sahabat m jakarta
confused,dosa gasih kalo gua chat dia dulu
netral,ada yang pernah berburu kemeja dan jean untuk cowo di pasar baru atau pasar senin harganya dirang berapa ya thank
sad,gue sama mantan gue udah putu beberapa bulan lalu dia kayanya juga udah deket sama cew tapi dia tuh kaya gabisa lepa dari gua gtu seminggu sekali pasti ngechat
anger,di tell ternyata banyak pipel pawer ya suka ngomporin dan ngomong
joy,jangkrik krik krik krik
joy,bakal lucu kalo soal peopl power ini kaya jame charl awalnya semua auto hate aja ntar abi kelar semua ternyata emang pihak yg against peopl power juga ga
netral,mau test lokasi baru tau nggak itu dimana wkwk
anger,pd heboh ngomonggin tgl smpe ke tell jg hadehh dasar peopl power
joy,gue lagi ua ni gai doain ya heheh
joy,ini bisa langsung cair keren
netral,tadi habi sama cwe di tell tr mau move di wa tp kok belum chat wa ya apa belum kesav nomerku
joy,es teh es teh es teh es teh es teh anget
joy,mei gue harap sih bisa petjah
sad,temen gue banget anjir puasa puasa nonton itunya edo katanya kurang
netral,jadi hayang dahar di yoshinoya euy
netral,taruna itu sibuk ga sih
joy,mari kita chatan gai f
joy,orang biasa gak cantik gak pinter gak kaya mah realisti aja gak usah berharap ini itu ketinggian cuma keberuntungan dan duit aja jawaban kita hweeh
sad,cara nurunin gengsi gimana gengsi gue ketinggian
sad,temen gue dodol banget puasa puasa nonton itunya edo tru dibilang ahh kurang kaya gini mah
netral,f smg yg mau fake relationship nego aja m here
netral,cara jadi kebon kelapa lg gimana si
confused,gua mau nanya dong gua kan tipe org yang ga terlalu tau tentang politik apalah tar yg katanya ada peopl power tuh mau ngapain si tujuanmya buat apa gitu asli gatau
sad,aku ga suka ya kamu nyebat di kamar mandi sambil berak wangi nya semerbak
netral,arah lembang bandung suka ada razia gak kalau sore
netral,mend peopl power atau austin power
netral,itu yang koar koar soal pemilu peopl power dll emang ikutan jd panitia pemilu pale ditawarin ikutan jawabannya mager
netral,saran tempat bukber sama doi dong di daerah depok yaa
joy,fcfcfc yuk onli clean
joy,siapa taau nemu ada yg bu hehe m here
joy,jaksel anyon main yuk
netral,daripada gabut gue buka sesi baca gari tangan deh tapi sesuai mood gue aja ya mohon dimengerti karena itu menghabiskan banyak tenaga yang mau dibacain pc aja
joy,alon in the dark candl light ice coffe book cigarett music what els
joy,sedia jasa sewa pacar untuk bukber promo ramadhan diskon yg minat silahkan dm terima kasih
joy,move line kuy bekasi
sad,oh i miss u ndre
sad,gue f penasaran sama rokok tapi ngga kuat sama asepnya wkwk
anger,banyak bacot gaada isinya bukannya keliatan hebat malah jadi terlihat menyedihkan dan memalukan
confused,bingung ya kok pada demen banget perang
joy,i can do that for three round
joy,selingkuh yukkkkk m bandung
sad,giliran ada event pent hari ini malah hari pertama dapet ya allah mau nangi aja rasanya dibawa gerak dikit nyeri bgt
anger,mohon maaf bedain polo dan bodoh kalo ada cew ga bisa jaga diri tru mau aja pa ditingg ngaku nyalahin mantan itu bodoh bukan polo
netral,setiap kali ngomong ma orang kalau pngn kuliah pasti diketawain tr dibilangin semoga gak luntur nah sebegitu mengerikankah kuliah
joy,apaan tuh peopl power hahahaha padah bisa maen sosm dan kebebasan berpendapat semenjak rezim soeharto dilengserkan sama peopl power yauda laaa
netral,maoo tanya peopl power itu apa
netral,ini jerawat klo dikasih gel jerawat teru gak gak cocok apa emg tipe si gelnya yg gak vpt ngeringin
joy,buku favorit lo apa gai
netral,here wan na chat clean
joy,kalo follow ayu tingt dan atta halilintar bersatu udah bisa bikin negara sendiri negara gluduk tingt
joy,kalian gak ikutan peopl power banyak loh sebenernya keuntungan peopl power buat mahasiswa kalian bisa diken sbg aktivi prospek politik jg bagu kedepanni
sad,dia masih main tell ga si astaga chat ga pernah dibal telpon ga diangkat yaampun ma jgn kaya gini
netral,aya nu rek ngobrol bahasa sunda sareng abdi
netral,partner or pacar singl jkt
joy,pagi ini kujumpai rembulan bersinar terang aku tersadar ini hari ulang tahunmu selamat ulang tahun ya laki laki penjaga bulan
netral,ada yang tau cara nyembuhin balan
sad,dulu gue berfikir orang yg tinggal diperkotaan seperti jabodetabek itu penduduknya lebih pinter daripada yg tinggal di luar perkotaan ternyata sama
netral,kalo maen chatou tuh kita gb nentuin trend nya ya
anger,apaansih peopl power
sad,yaudah aku ngalah aku jadi power ranger pink aja ya
netral,pemikiran kita memang berubah sesuai jaman sadar ga kalo pemikiran kita sekarang justru lebih mengarah pada ideolog barat
anger,revolusi gerakan masyarakat gak politik aja kita sekarang pria jangan mau ngasih kontak duluan enak banget cew di tell cuma liat foto kita teru
netral,charact
joy,ini tell rame ya tumben
joy,segitu senengnya setelah sebulan gak meet karena udah gada urusan ke skul eh dia ngajakin ke skul besok wkwkw
netral,peopl power nanti perang sarung apa petasan ya
sad,dulu gue mikir orang yg sekolah di swasta lebih pinter dari yg sekolah di negeri ternyata beda dikit doang ah
netral,ovo bisa transfer ke bank ga sih
sad,akun satu lagi di ban bikin email baru udh susah skrg wkkw
fear,yang dari bengkulu argamakmur chat gw dong pliss urgent
sad,pengen ewe kuce
joy,f yuk chatan unclean
anger,baju aja bisa ilang dirumah coba
sad,ku ingin coffe float mcd
sad,rasanya pen male an tapi male
joy,gue chat sama cowo tapi yang mau berjuang nemuin gue cuma cowo tp semua nya bikin nyaman dan semuanya udh chatan
sad,koala kesepian
netral,for m apa sih tanggapan kalian klo dket sm cew curvi ga cakep tru jerawatan
confused,gue mau nuli wattpad gt genr apa ya
sad,chat yuk bikin ngantuk nih dosennya m here
netral,gai mo tanya kalo follow playlist di spotifi akun keliatan gak di si usernya
joy,berdamai banget sama diri sendiri mau jerawatan ke mau gendut aku udah bodo amat sama omongan orang kok gendutan ko jerawat sih heheh kalian gatau aja usaha nya
joy,ada aja anjir yg nge like bkp jam sgini di twitter untung kga puasa
joy,ssbenernya suka sama film yg got tp karena ngga ngikuti daru awal mau nontln itu bingung haru nonton dari yg mana ksih tau dong urutannya got
sad,butuh uang banget yang seriu mau bantu tlg ya
sad,pengen pulang
anger,politik adu domba selalu di pakai kubu sebelah untuk mencari massa mulai dari lalu pilkada jakarta sekarang pemilu
anger,pengen pen banget bat ya allah yawlah sih sich gue w penggunaan kata auto auto baper penggunaan kata abl peluk instant end chat
sad,mau cerita pengalaman tinder gw yg pahit
confused,gausah lah lu bingung sama pipel power gua aja bingung kedudukan skrng pak jokowi itu presiden
joy,pengen banget nikah sama orang padang seru aja gitu pa resepsi atau adat nikah nya
sad,ketika keluarga lo ngomongin lo dari belakang dan lo denger sendiri tapi lo diam aja ini jauh lebih menyakitkan
anger,ga salah dong ya gue bilang cowo disini rata rata otak nya pada cetek apa apa di sangkut pautin sama seex naji dah gua mah
love,semangat ya sayang kamu kuliahnya hari ini
joy,yaallah pen jadi anaknya hamish daud bgt dah w
anger,lo kan ganteng kenapa sih lo mau sama cew kaya dia lah gua sayang nya ama dia emang ngapa dah sirik aja lu jomb
joy,aku mager bangun jd mend kita fc aja yuk
anger,duh hr ini matkul dosen yg gaenak selalu kubu lain mau skip aja bukan krn gue pemilih kubu itu tp muak aja dosen tp kyk gitu
disgusted,kenapa di tell kadang keliatan banger ngerendahin dirinya sendiri kaya hau banget cinta belaian samp segitu receh dan murahnya gitu
sad,finish got kehilangan tujuan hidup fc yuk mhere
netral,ada yang kuliah dijogja mhere guy
netral,mend download ini http
joy,hujan hujan gini fc an asik lhoo kuy m
sad,hiyaaa mau jd jimbonnn astaghfirullah
anger,kurangnya educ bikin hal itu tabu padah xe adalah kebutuhan mahluk hidup but educ jga suka disalahgunakan sma oknum oknum sulit
netral,saran olshop atau store yang jual kao putih yang bahannya menurut kalian enak dan adem dong buat cewek yaak u u
anger,yuk fc tp gausah gender bgst
sad,menurut kalian jokowi udah bener belum sih mimpin negara ini kok menurut gue jauh banget dari harapan gue yaa
disgusted,klo adu wawasan sama cowo cowo sini pale banyak yg ha ho ha ho klo baha sexx baru pada tau mereka mah
joy,sebat dulu lah
sad,ternyata gebetanku adalah gebetan orang lain juga
netral,promo grab apaya ada yg tau
sad,kini haru ku lewati sepi hariku tanpa dirimu
netral,ada f depok yang free hari ini
confused,mau tanya kan gue buka rek baru bca silver masa pa gue tarik tunai kena potongan itu apaan ya admin kan
netral,ada yang kuliah dijogja mhere
sad,cew gue jadi banyak nuntut apa karena sere dipak
joy,he so tall and handsom as hell
anger,astaga mafren jangan lah kelen bolo puasa cuma gegara abi nyoolii kan bisa malemnya langsung manndiiiii
joy,kuy join baru dibuat http
netral,bca expresi kartu atm nya udah ada chipnya belum sih
sad,dunia ini bukan milik goodlook dunia ini milik yang bisa menjaga attitud dan menjaga agar tidak menyak perasaan orang lain
netral,saran dong lebih utamain beli baju atau perawatan wajah soalnya wajah aku lagi banyak jerawat nya
netral,guy enakan rm padang sederhana pagi sore
netral,mau tanya skrg yg lagi ada promo tuh ya
joy,sini chattan sama gw
joy,ada f depok chat yuk m here
anger,apaa n jg ni dosen tiba tiba hari ini ada ujian mendadak bngsd lh
fear,ada gak cew hijab teru ngerokok gua cuman berani ngerokok dikosan doang gak berani diluar
netral,mau type an gue bagu mau kagak tetep aja lo gak akan tau aslinya gue gimana wkwk
sad,when you tri your best cangcut na soek
sad,menyak hati adalah perbuatan yang dianggap menyenangkan untuk beberapa orang wanita karena mereka hau akan perhatian lebih seakan jadi tuan putri khayalan
netral,ada yang mau ngobrol ga
anger,search cuttin scar eh malah kepengen tolol
netral,ada yang mau checkoutin shopp m here
confused,yang pacaran di kosan awalnya berisik suara bercandaan teru hene cuma suara tv doang mereka lagi ngapain ya
anger,coba saat lo melihat sesuatu masalah jangan langsung reaktif lo memang punya hak untuk jadi si a dan si b tapi menjadi objektif itu tindakan pertama
sad,tangan sebelah kiriku yang sudah banyak scar maafin aku gabisa kontrol diriku buat lukain kamu ya tangan
sad,wahai skincar guru tolong kasih solusi untuk kulit muka yg keringgg
netral,ada yang mau fc an ga here
joy,ada yg mau voucher grati ongkir gofood ga gue ada nih ga kepak klo ada yg mau gue pesenin tp bayar sendiri ya makanannya hehe
sad,aku gak tau hru mulai darimana dan haru mengakhiri dgn cara apa
netral,kalian pa sekolah make up ga
netral,aku juga pernah macarin pacar orang hanya karena kenalan dari tinder
netral,apakah wajah yang rada item bisa jadi putih
sad,harap sabar untuk pejuang colii
joy,enaknya dpt lagi ganti uang makan pdhl gw makan cuma rb wkwkwkkwk disamaratain ama yg laen hoki bner akhir bulan m
joy,pacar gue kesenangan di jilmew emang para f gitu
joy,my cat the one around that listen to my problem
